R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,0) -19.027,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,1) -11.431,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,2) -1.036,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,3) 9.653,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,4) 9.886999,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,5) 9.886999,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
value,Cell(0,6) 9.698,-,-,-,-,-,-,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
R,R,R,R,R,R,R,R,R,R,
